code,ab,County,POVALL_2014
18135,IN,Randolph County,"4,003"
18137,IN,Ripley County,"2,980"
18139,IN,Rush County,"2,387"
18141,IN,St. Joseph County,"44,228"
18143,IN,Scott County,"4,106"
18145,IN,Shelby County,"5,142"
18147,IN,Spencer County,"1,908"
18149,IN,Starke County,"3,552"
18151,IN,Steuben County,"4,208"
18153,IN,Sullivan County,"3,158"
18155,IN,Switzerland County,"1,793"
18157,IN,Tippecanoe County,"37,311"
18159,IN,Tipton County,"1,448"
18161,IN,Union County,988
18163,IN,Vanderburgh County,"30,984"
18165,IN,Vermillion County,"2,135"
18167,IN,Vigo County,"19,910"
18169,IN,Wabash County,"4,621"
18171,IN,Warren County,811
18173,IN,Warrick County,"4,926"
18175,IN,Washington County,"4,455"
18177,IN,Wayne County,"11,570"
18179,IN,Wells County,"2,916"
18181,IN,White County,"2,680"
18183,IN,Whitley County,"3,088"
19000,IA,Iowa,"368,678"
19001,IA,Adair County,751
19003,IA,Adams County,466
19005,IA,Allamakee County,"1,701"
19007,IA,Appanoose County,"2,191"
19009,IA,Audubon County,626
19011,IA,Benton County,"2,220"
19013,IA,Black Hawk County,"18,419"
19015,IA,Boone County,"2,671"
19017,IA,Bremer County,"1,734"
19019,IA,Buchanan County,"2,208"
19021,IA,Buena Vista County,"2,415"
19023,IA,Butler County,"1,454"
19025,IA,Calhoun County,"1,261"
19027,IA,Carroll County,"2,001"
19029,IA,Cass County,"1,717"
19031,IA,Cedar County,"1,432"
19033,IA,Cerro Gordo County,"5,047"
19035,IA,Cherokee County,"1,099"
19037,IA,Chickasaw County,"1,183"
19039,IA,Clarke County,"1,305"
19041,IA,Clay County,"1,858"
19043,IA,Clayton County,"1,878"
19045,IA,Clinton County,"6,050"
19047,IA,Crawford County,"1,965"
19049,IA,Dallas County,"4,745"
19051,IA,Davis County,"1,330"
19053,IA,Decatur County,"1,586"
19055,IA,Delaware County,"1,532"
19057,IA,Des Moines County,"6,208"
19059,IA,Dickinson County,"1,234"
19061,IA,Dubuque County,"10,654"
19063,IA,Emmet County,"1,074"
19065,IA,Fayette County,"2,807"
19067,IA,Floyd County,"2,010"
19069,IA,Franklin County,"1,234"
19071,IA,Fremont County,804
19073,IA,Greene County,"1,192"
19075,IA,Grundy County,812
19077,IA,Guthrie County,"1,304"
19079,IA,Hamilton County,"1,400"
19081,IA,Hancock County,914
19083,IA,Hardin County,"1,916"
19085,IA,Harrison County,"1,540"
19087,IA,Henry County,"2,487"
19089,IA,Howard County,"1,124"
19091,IA,Humboldt County,956
19093,IA,Ida County,754
19095,IA,Iowa County,"1,211"
19097,IA,Jackson County,"2,172"
19099,IA,Jasper County,"3,923"
19101,IA,Jefferson County,"2,673"
19103,IA,Johnson County,"21,391"
19105,IA,Jones County,"2,232"
19107,IA,Keokuk County,"1,362"
19109,IA,Kossuth County,"1,442"
19111,IA,Lee County,"5,991"
19113,IA,Linn County,"19,779"
19115,IA,Louisa County,"1,216"
19117,IA,Lucas County,"1,376"
19119,IA,Lyon County,906
19121,IA,Madison County,"1,357"
19123,IA,Mahaska County,"2,797"
19125,IA,Marion County,"3,538"
19127,IA,Marshall County,"5,113"
19129,IA,Mills County,"1,384"
19131,IA,Mitchell County,"1,209"
19133,IA,Monona County,"1,254"
19135,IA,Monroe County,916
19137,IA,Montgomery County,"1,961"
19139,IA,Muscatine County,"4,799"
19141,IA,O'Brien County,"1,417"
19143,IA,Osceola County,557
19145,IA,Page County,"2,056"
19147,IA,Palo Alto County,"1,001"
19149,IA,Plymouth County,"1,863"
19151,IA,Pocahontas County,897
19153,IA,Polk County,"58,971"
19155,IA,Pottawattamie County,"11,120"
19157,IA,Poweshiek County,"2,063"
19159,IA,Ringgold County,804
19161,IA,Sac County,"1,060"
19163,IA,Scott County,"20,437"
19165,IA,Shelby County,"1,118"
19167,IA,Sioux County,"2,405"
19169,IA,Story County,"16,276"
19171,IA,Tama County,"2,210"
19173,IA,Taylor County,793
19175,IA,Union County,"1,560"
19177,IA,Van Buren County,"1,063"
19179,IA,Wapello County,"5,709"
19181,IA,Warren County,"2,925"
19183,IA,Washington County,"2,210"
19185,IA,Wayne County,"1,050"
19187,IA,Webster County,"5,550"
19189,IA,Winnebago County,"1,056"
19191,IA,Winneshiek County,"1,747"
19193,IA,Woodbury County,"15,151"
19195,IA,Worth County,823
19197,IA,Wright County,"1,511"
20000,KS,Kansas,"381,506"
20001,KS,Allen County,"2,267"
20003,KS,Anderson County,"1,107"
20005,KS,Atchison County,"2,666"
20007,KS,Barber County,600
20009,KS,Barton County,"4,739"
20011,KS,Bourbon County,"2,637"
20013,KS,Brown County,"1,680"
20015,KS,Butler County,"7,194"
20017,KS,Chase County,334
20019,KS,Chautauqua County,555
20021,KS,Cherokee County,"3,573"
20023,KS,Cheyenne County,303
20025,KS,Clark County,270
20027,KS,Clay County,887
20029,KS,Cloud County,"1,250"
20031,KS,Coffey County,905
20033,KS,Comanche County,213
20035,KS,Cowley County,"5,086"
20037,KS,Crawford County,"7,764"
20039,KS,Decatur County,389
20041,KS,Dickinson County,"2,115"
20043,KS,Doniphan County,"1,109"
20045,KS,Douglas County,"20,961"
20047,KS,Edwards County,314
20049,KS,Elk County,461
20051,KS,Ellis County,"3,646"
20053,KS,Ellsworth County,670
20055,KS,Finney County,"6,871"
20057,KS,Ford County,"5,106"
20059,KS,Franklin County,"3,328"
20061,KS,Geary County,"4,966"
20063,KS,Gove County,277
20065,KS,Graham County,304
20067,KS,Grant County,844
20069,KS,Gray County,497
20071,KS,Greeley County,138
20073,KS,Greenwood County,"1,048"
20075,KS,Hamilton County,333
20077,KS,Harper County,733
20079,KS,Harvey County,"4,265"
20081,KS,Haskell County,436
20083,KS,Hodgeman County,166
20085,KS,Jackson County,"1,377"
20087,KS,Jefferson County,"1,745"
20089,KS,Jewell County,407
20091,KS,Johnson County,"37,315"
20093,KS,Kearny County,465
20095,KS,Kingman County,836
20097,KS,Kiowa County,302
20099,KS,Labette County,"3,754"
20101,KS,Lane County,183
20103,KS,Leavenworth County,"7,856"
20105,KS,Lincoln County,395
20107,KS,Linn County,"1,388"
20109,KS,Logan County,266
20111,KS,Lyon County,"5,721"
20113,KS,McPherson County,"2,478"
20115,KS,Marion County,"1,360"
20117,KS,Marshall County,"1,094"
20119,KS,Meade County,494
20121,KS,Miami County,"3,061"
20123,KS,Mitchell County,674
20125,KS,Montgomery County,"5,888"
20127,KS,Morris County,703
20129,KS,Morton County,335
20131,KS,Nemaha County,974
20133,KS,Neosho County,"2,804"
20135,KS,Ness County,301
20137,KS,Norton County,639
20139,KS,Osage County,"2,021"
20141,KS,Osborne County,470
20143,KS,Ottawa County,620
20145,KS,Pawnee County,817
20147,KS,Phillips County,621
20149,KS,Pottawatomie County,"2,262"
20151,KS,Pratt County,974
20153,KS,Rawlins County,299
20155,KS,Reno County,"9,577"
20157,KS,Republic County,594
20159,KS,Rice County,"1,369"
20161,KS,Riley County,"13,379"
20163,KS,Rooks County,608
20165,KS,Rush County,379
20167,KS,Russell County,913
20169,KS,Saline County,"7,044"
20171,KS,Scott County,411
20173,KS,Sedgwick County,"73,532"
20175,KS,Seward County,"3,617"
20177,KS,Shawnee County,"26,058"
20179,KS,Sheridan County,273
20181,KS,Sherman County,968
20183,KS,Smith County,500
20185,KS,Stafford County,594
20187,KS,Stanton County,236
20189,KS,Stevens County,554
20191,KS,Sumner County,"3,064"
20193,KS,Thomas County,851
20195,KS,Trego County,279
20197,KS,Wabaunsee County,666
20199,KS,Wallace County,178
20201,KS,Washington County,590
20203,KS,Wichita County,246
20205,KS,Wilson County,"1,478"
20207,KS,Woodson County,569
20209,KS,Wyandotte County,"39,074"
21000,KY,Kentucky,"812,803"
21001,KY,Adair County,"4,644"
21003,KY,Allen County,"3,816"
21005,KY,Anderson County,"2,450"
21007,KY,Ballard County,"1,359"
21009,KY,Barren County,"8,247"
21011,KY,Bath County,"2,733"
21013,KY,Bell County,"8,955"
21015,KY,Boone County,"10,009"
21017,KY,Bourbon County,"3,774"
21019,KY,Boyd County,"10,705"
21021,KY,Boyle County,"4,627"
21023,KY,Bracken County,"1,540"
21025,KY,Breathitt County,"4,340"
21027,KY,Breckinridge County,"3,740"
21029,KY,Bullitt County,"9,474"
21031,KY,Butler County,"2,596"
21033,KY,Caldwell County,"2,282"
21035,KY,Calloway County,"7,052"
21037,KY,Campbell County,"11,724"
21039,KY,Carlisle County,833
21041,KY,Carroll County,"2,139"
21043,KY,Carter County,"6,322"
21045,KY,Casey County,"4,699"
21047,KY,Christian County,"14,868"
21049,KY,Clark County,"5,615"
21051,KY,Clay County,"7,267"
21053,KY,Clinton County,"2,565"
21055,KY,Crittenden County,"1,823"
21057,KY,Cumberland County,"1,841"
21059,KY,Daviess County,"14,370"
21061,KY,Edmonson County,"2,366"
21063,KY,Elliott County,"2,133"
21065,KY,Estill County,"4,254"
21067,KY,Fayette County,"59,007"
21069,KY,Fleming County,"2,795"
21071,KY,Floyd County,"11,702"
21073,KY,Franklin County,"6,184"
21075,KY,Fulton County,"1,812"
21077,KY,Gallatin County,"1,419"
21079,KY,Garrard County,"3,004"
21081,KY,Grant County,"4,103"
21083,KY,Graves County,"6,550"
21085,KY,Grayson County,"5,488"
21087,KY,Green County,"2,339"
21089,KY,Greenup County,"5,846"
21091,KY,Hancock County,"1,193"
21093,KY,Hardin County,"14,905"
21095,KY,Harlan County,"9,436"
21097,KY,Harrison County,"3,386"
21099,KY,Hart County,"4,200"
21101,KY,Henderson County,"8,227"
21103,KY,Henry County,"2,814"
21105,KY,Hickman County,828
21107,KY,Hopkins County,"7,594"
21109,KY,Jackson County,"3,514"
21111,KY,Jefferson County,"124,850"
21113,KY,Jessamine County,"7,190"
21115,KY,Johnson County,"5,817"
21117,KY,Kenton County,"24,923"
21119,KY,Knott County,"5,113"
21121,KY,Knox County,"10,824"
21123,KY,Larue County,"2,486"
21125,KY,Laurel County,"14,610"
21127,KY,Lawrence County,"4,041"
21129,KY,Lee County,"2,292"
21131,KY,Leslie County,"3,514"
21133,KY,Letcher County,"6,949"
21135,KY,Lewis County,"4,707"
21137,KY,Lincoln County,"6,650"
21139,KY,Livingston County,"1,299"
21141,KY,Logan County,"4,486"
21143,KY,Lyon County,"1,108"
21145,KY,McCracken County,"11,214"
21147,KY,McCreary County,"7,525"
21149,KY,McLean County,"1,580"
21151,KY,Madison County,"15,947"
21153,KY,Magoffin County,"3,850"
21155,KY,Marion County,"4,065"
21157,KY,Marshall County,"3,977"
21159,KY,Martin County,"4,401"
21161,KY,Mason County,"3,115"
21163,KY,Meade County,"3,616"
21165,KY,Menifee County,"1,668"
21167,KY,Mercer County,"3,720"
21169,KY,Metcalfe County,"2,484"
21171,KY,Monroe County,"2,748"
21173,KY,Montgomery County,"5,620"
21175,KY,Morgan County,"3,489"
21177,KY,Muhlenberg County,"6,368"
21179,KY,Nelson County,"5,618"
21181,KY,Nicholas County,"1,342"
21183,KY,Ohio County,"4,633"
21185,KY,Oldham County,"3,211"
21187,KY,Owen County,"1,848"
21189,KY,Owsley County,"1,984"
21191,KY,Pendleton County,"2,229"
21193,KY,Perry County,"7,401"
21195,KY,Pike County,"16,796"
21197,KY,Powell County,"3,247"
21199,KY,Pulaski County,"16,338"
21201,KY,Robertson County,492
21203,KY,Rockcastle County,"3,956"
21205,KY,Rowan County,"4,953"
21207,KY,Russell County,"4,608"
21209,KY,Scott County,"5,406"
21211,KY,Shelby County,"5,548"
21213,KY,Simpson County,"2,610"
21215,KY,Spencer County,"1,545"
21217,KY,Taylor County,"6,333"
21219,KY,Todd County,"2,368"
21221,KY,Trigg County,"2,218"
21223,KY,Trimble County,"1,408"
21225,KY,Union County,"2,832"
21227,KY,Warren County,"20,900"
21229,KY,Washington County,"2,284"
21231,KY,Wayne County,"5,252"
21233,KY,Webster County,"2,220"
21235,KY,Whitley County,"10,097"
21237,KY,Wolfe County,"2,558"
21239,KY,Woodford County,"2,812"
22000,LA,Louisiana,"898,902"
22001,LA,Acadia Parish,"13,527"
22003,LA,Allen Parish,"4,832"
22005,LA,Ascension Parish,"15,873"
22007,LA,Assumption Parish,"4,067"
22009,LA,Avoyelles Parish,"9,639"
22011,LA,Beauregard Parish,"6,559"
22013,LA,Bienville Parish,"3,704"
22015,LA,Bossier Parish,"17,520"
22017,LA,Caddo Parish,"59,514"
22019,LA,Calcasieu Parish,"35,591"
22021,LA,Caldwell Parish,"2,168"
22023,LA,Cameron Parish,809
22025,LA,Catahoula Parish,"2,158"
22027,LA,Claiborne Parish,"3,789"
22029,LA,Concordia Parish,"5,855"
22031,LA,De Soto Parish,"6,298"
22033,LA,East Baton Rouge Parish,"80,273"
22035,LA,East Carroll Parish,"2,751"
22037,LA,East Feliciana Parish,"3,543"
22039,LA,Evangeline Parish,"7,757"
22041,LA,Franklin Parish,"5,718"
22043,LA,Grant Parish,"4,417"
22045,LA,Iberia Parish,"14,132"
22047,LA,Iberville Parish,"5,867"
22049,LA,Jackson Parish,"3,679"
22051,LA,Jefferson Parish,"68,333"
22053,LA,Jefferson Davis Parish,"6,700"
22055,LA,Lafayette Parish,"34,809"
22057,LA,Lafourche Parish,"16,903"
22059,LA,La Salle Parish,"2,447"
22061,LA,Lincoln Parish,"12,699"
22063,LA,Livingston Parish,"16,499"
22065,LA,Madison Parish,"4,250"
22067,LA,Morehouse Parish,"7,608"
22069,LA,Natchitoches Parish,"11,500"
22071,LA,Orleans Parish,"103,855"
22073,LA,Ouachita Parish,"35,619"
22075,LA,Plaquemines Parish,"3,715"
22077,LA,Pointe Coupee Parish,"4,072"
22079,LA,Rapides Parish,"25,480"
22081,LA,Red River Parish,"2,140"
22083,LA,Richland Parish,"4,932"
22085,LA,Sabine Parish,"5,022"
22087,LA,St. Bernard Parish,"7,869"
22089,LA,St. Charles Parish,"6,272"
22091,LA,St. Helena Parish,"2,515"
22093,LA,St. James Parish,"3,450"
22095,LA,St. John the Baptist Parish,"8,995"
22097,LA,St. Landry Parish,"24,857"
22099,LA,St. Martin Parish,"9,460"
22101,LA,St. Mary Parish,"11,395"
22103,LA,St. Tammany Parish,"27,292"
22105,LA,Tangipahoa Parish,"27,726"
22107,LA,Tensas Parish,"1,538"
22109,LA,Terrebonne Parish,"23,321"
22111,LA,Union Parish,"4,835"
22113,LA,Vermilion Parish,"10,775"
22115,LA,Vernon Parish,"6,911"
22117,LA,Washington Parish,"12,979"
22119,LA,Webster Parish,"8,681"
22121,LA,West Baton Rouge Parish,"5,012"
22123,LA,West Carroll Parish,"2,492"
22125,LA,West Feliciana Parish,"2,415"
22127,LA,Winn Parish,"3,487"
23000,ME,Maine,"181,737"
23001,ME,Androscoggin County,"16,125"
23003,ME,Aroostook County,"13,603"
23005,ME,Cumberland County,"30,257"
23007,ME,Franklin County,"4,592"
23009,ME,Hancock County,"6,886"
23011,ME,Kennebec County,"16,257"
23013,ME,Knox County,"5,315"
23015,ME,Lincoln County,"3,951"
23017,ME,Oxford County,"9,083"
23019,ME,Penobscot County,"26,330"
23021,ME,Piscataquis County,"3,403"
23023,ME,Sagadahoc County,"3,642"
23025,ME,Somerset County,"8,681"
23027,ME,Waldo County,"5,752"
23029,ME,Washington County,"5,725"
23031,ME,York County,"22,134"
24000,MD,Maryland,"604,762"
24001,MD,Allegany County,"12,063"
24003,MD,Anne Arundel County,"36,632"
24005,MD,Baltimore County,"78,935"
24009,MD,Calvert County,"6,441"
24011,MD,Caroline County,"5,108"
24013,MD,Carroll County,"9,673"
24015,MD,Cecil County,"10,751"
24017,MD,Charles County,"11,000"
24019,MD,Dorchester County,"5,608"
24021,MD,Frederick County,"15,670"
24023,MD,Garrett County,"3,610"
24025,MD,Harford County,"19,664"
24027,MD,Howard County,"18,818"
24029,MD,Kent County,"2,544"
24031,MD,Montgomery County,"73,213"
24033,MD,Prince George's County,"91,060"
24035,MD,Queen Anne's County,"3,620"
24037,MD,St. Mary's County,"9,239"
24039,MD,Somerset County,"5,197"
24041,MD,Talbot County,"4,333"
24043,MD,Washington County,"19,416"
24045,MD,Wicomico County,"16,317"
24047,MD,Worcester County,"6,067"
24510,MD,Baltimore city,"139,782"
25000,MA,Massachusetts,"760,211"
25001,MA,Barnstable County,"18,801"
25003,MA,Berkshire County,"16,037"
25005,MA,Bristol County,"66,553"
25007,MA,Dukes County,"1,544"
25009,MA,Essex County,"80,526"
25011,MA,Franklin County,"8,397"
25013,MA,Hampden County,"80,178"
25015,MA,Hampshire County,"20,809"
25017,MA,Middlesex County,"134,684"
25019,MA,Nantucket County,765
25021,MA,Norfolk County,"43,999"
25023,MA,Plymouth County,"42,124"
25025,MA,Suffolk County,"155,184"
25027,MA,Worcester County,"90,611"
26000,MI,Michigan,"1,567,465"
26001,MI,Alcona County,"1,803"
26003,MI,Alger County,"1,310"
26005,MI,Allegan County,"12,851"
26007,MI,Alpena County,"4,793"
26009,MI,Antrim County,"2,996"
26011,MI,Arenac County,"3,010"
26013,MI,Baraga County,"1,208"
26015,MI,Barry County,"5,971"
26017,MI,Bay County,"17,614"
26019,MI,Benzie County,"2,043"
26021,MI,Berrien County,"26,842"
26023,MI,Branch County,"6,310"
26025,MI,Calhoun County,"20,194"
26027,MI,Cass County,"7,555"
26029,MI,Charlevoix County,"3,241"
26031,MI,Cheboygan County,"4,054"
26033,MI,Chippewa County,"6,623"
26035,MI,Clare County,"7,376"
26037,MI,Clinton County,"7,616"
26039,MI,Crawford County,"2,230"
26041,MI,Delta County,"5,335"
26043,MI,Dickinson County,"3,674"
26045,MI,Eaton County,"10,493"
26047,MI,Emmet County,"3,793"
26049,MI,Genesee County,"87,632"
26051,MI,Gladwin County,"4,646"
26053,MI,Gogebic County,"2,961"
26055,MI,Grand Traverse County,"8,546"
26057,MI,Gratiot County,"6,709"
26059,MI,Hillsdale County,"7,351"
26061,MI,Houghton County,"6,280"
26063,MI,Huron County,"4,469"
26065,MI,Ingham County,"53,518"
26067,MI,Ionia County,"8,889"
26069,MI,Iosco County,"4,748"
26071,MI,Iron County,"1,916"
26073,MI,Isabella County,"18,099"
26075,MI,Jackson County,"23,035"
26077,MI,Kalamazoo County,"47,221"
26079,MI,Kalkaska County,"2,998"
26081,MI,Kent County,"94,696"
26083,MI,Keweenaw County,281
26085,MI,Lake County,"3,194"
26087,MI,Lapeer County,"9,590"
26089,MI,Leelanau County,"1,922"
26091,MI,Lenawee County,"13,651"
26093,MI,Livingston County,"11,312"
26095,MI,Luce County,"1,081"
26097,MI,Mackinac County,"1,682"
26099,MI,Macomb County,"104,347"
26101,MI,Manistee County,"3,822"
26103,MI,Marquette County,"9,701"
26105,MI,Mason County,"4,637"
26107,MI,Mecosta County,"9,146"
26109,MI,Menominee County,"3,383"
26111,MI,Midland County,"9,740"
26113,MI,Missaukee County,"2,389"
26115,MI,Monroe County,"15,436"
26117,MI,Montcalm County,"12,197"
26119,MI,Montmorency County,"1,433"
26121,MI,Muskegon County,"33,197"
26123,MI,Newaygo County,"9,922"
26125,MI,Oakland County,"122,452"
26127,MI,Oceana County,"5,206"
26129,MI,Ogemaw County,"4,438"
26131,MI,Ontonagon County,"1,084"
26133,MI,Osceola County,"4,643"
26135,MI,Oscoda County,"1,703"
26137,MI,Otsego County,"3,142"
26139,MI,Ottawa County,"24,462"
26141,MI,Presque Isle County,"2,071"
26143,MI,Roscommon County,"4,882"
26145,MI,Saginaw County,"32,739"
26147,MI,St. Clair County,"21,850"
26149,MI,St. Joseph County,"11,088"
26151,MI,Sanilac County,"6,028"
26153,MI,Schoolcraft County,"1,410"
26155,MI,Shiawassee County,"10,349"
26157,MI,Tuscola County,"8,304"
26159,MI,Van Buren County,"12,261"
26161,MI,Washtenaw County,"48,651"
26163,MI,Wayne County,"419,820"
26165,MI,Wexford County,"6,171"
27000,MN,Minnesota,"607,870"
27001,MN,Aitkin County,"2,306"
27003,MN,Anoka County,"25,800"
27005,MN,Becker County,"4,793"
27007,MN,Beltrami County,"8,056"
27009,MN,Benton County,"5,272"
27011,MN,Big Stone County,640
27013,MN,Blue Earth County,"11,095"
27015,MN,Brown County,"2,153"
27017,MN,Carlton County,"4,086"
27019,MN,Carver County,"4,613"
27021,MN,Cass County,"4,434"
27023,MN,Chippewa County,"1,371"
27025,MN,Chisago County,"3,251"
27027,MN,Clay County,"7,704"
27029,MN,Clearwater County,"1,540"
27031,MN,Cook County,537
27033,MN,Cottonwood County,"1,473"
27035,MN,Crow Wing County,"6,815"
27037,MN,Dakota County,"29,892"
27039,MN,Dodge County,"1,531"
27041,MN,Douglas County,"3,474"
27043,MN,Faribault County,"1,866"
27045,MN,Fillmore County,"2,360"
27047,MN,Freeborn County,"3,774"
27049,MN,Goodhue County,"4,377"
27051,MN,Grant County,615
27053,MN,Hennepin County,"154,785"
27055,MN,Houston County,"1,560"
27057,MN,Hubbard County,"2,491"
27059,MN,Isanti County,"2,971"
27061,MN,Itasca County,"6,545"
27063,MN,Jackson County,992
27065,MN,Kanabec County,"2,166"
27067,MN,Kandiyohi County,"4,783"
27069,MN,Kittson County,427
27071,MN,Koochiching County,"1,933"
27073,MN,Lac qui Parle County,700
27075,MN,Lake County,"1,098"
27077,MN,Lake of the Woods County,412
27079,MN,Le Sueur County,"2,434"
27081,MN,Lincoln County,577
27083,MN,Lyon County,"2,839"
27085,MN,McLeod County,"2,797"
27087,MN,Mahnomen County,"1,063"
27089,MN,Marshall County,891
27091,MN,Martin County,"2,434"
27093,MN,Meeker County,"2,268"
27095,MN,Mille Lacs County,"3,035"
27097,MN,Morrison County,"3,839"
27099,MN,Mower County,"4,700"
27101,MN,Murray County,796
27103,MN,Nicollet County,"3,134"
27105,MN,Nobles County,"2,769"
27107,MN,Norman County,868
27109,MN,Olmsted County,"14,462"
27111,MN,Otter Tail County,"6,363"
27113,MN,Pennington County,"1,274"
27115,MN,Pine County,"4,762"
27117,MN,Pipestone County,"1,110"
27119,MN,Polk County,"3,875"
27121,MN,Pope County,"1,129"
27123,MN,Ramsey County,"85,264"
27125,MN,Red Lake County,368
27127,MN,Redwood County,"1,886"
27129,MN,Renville County,"1,661"
27131,MN,Rice County,"7,510"
27133,MN,Rock County,890
27135,MN,Roseau County,"1,418"
27137,MN,St. Louis County,"32,867"
27139,MN,Scott County,"7,590"
27141,MN,Sherburne County,"6,395"
27143,MN,Sibley County,"1,353"
27145,MN,Stearns County,"19,537"
27147,MN,Steele County,"3,931"
27149,MN,Stevens County,"1,258"
27151,MN,Swift County,"1,005"
27153,MN,Todd County,"4,250"
27155,MN,Traverse County,400
27157,MN,Wabasha County,"1,549"
27159,MN,Wadena County,"2,107"
27161,MN,Waseca County,"1,793"
27163,MN,Washington County,"14,735"
27165,MN,Watonwan County,"1,135"
27167,MN,Wilkin County,653
27169,MN,Winona County,"7,400"
27171,MN,Wright County,"7,700"
27173,MN,Yellow Medicine County,"1,105"
28000,MS,Mississippi,"634,960"
28001,MS,Adams County,"9,586"
28003,MS,Alcorn County,"7,966"
28005,MS,Amite County,"2,891"
28007,MS,Attala County,"4,449"
28009,MS,Benton County,"2,102"
28011,MS,Bolivar County,"10,882"
28013,MS,Calhoun County,"3,633"
28015,MS,Carroll County,"1,763"
28017,MS,Chickasaw County,"4,151"
28019,MS,Choctaw County,"1,979"
28021,MS,Claiborne County,"3,430"
28023,MS,Clarke County,"3,634"
28025,MS,Clay County,"5,649"
28027,MS,Coahoma County,"8,498"
28029,MS,Copiah County,"7,317"
28031,MS,Covington County,"5,064"
28033,MS,DeSoto County,"17,112"
28035,MS,Forrest County,"19,236"
28037,MS,Franklin County,"1,590"
28039,MS,George County,"3,867"
28041,MS,Greene County,"2,636"
28043,MS,Grenada County,"5,287"
28045,MS,Hancock County,"8,993"
28047,MS,Harrison County,"36,288"
28049,MS,Hinds County,"55,541"
28051,MS,Holmes County,"7,717"
28053,MS,Humphreys County,"3,480"
28055,MS,Issaquena County,431
28057,MS,Itawamba County,"3,880"
28059,MS,Jackson County,"21,723"
28061,MS,Jasper County,"3,751"
28063,MS,Jefferson County,"2,764"
28065,MS,Jefferson Davis County,"3,488"
28067,MS,Jones County,"16,272"
28069,MS,Kemper County,"2,615"
28071,MS,Lafayette County,"12,011"
28073,MS,Lamar County,"8,479"
28075,MS,Lauderdale County,"16,466"
28077,MS,Lawrence County,"2,778"
28079,MS,Leake County,"5,751"
28081,MS,Lee County,"16,289"
28083,MS,Leflore County,"11,794"
28085,MS,Lincoln County,"7,392"
28087,MS,Lowndes County,"13,781"
28089,MS,Madison County,"13,115"
28091,MS,Marion County,"7,611"
28093,MS,Marshall County,"7,377"
28095,MS,Monroe County,"7,122"
28097,MS,Montgomery County,"2,536"
28099,MS,Neshoba County,"6,010"
28101,MS,Newton County,"4,736"
28103,MS,Noxubee County,"3,420"
28105,MS,Oktibbeha County,"13,295"
28107,MS,Panola County,"8,863"
28109,MS,Pearl River County,"10,425"
28111,MS,Perry County,"2,738"
28113,MS,Pike County,"11,942"
28115,MS,Pontotoc County,"5,429"
28117,MS,Prentiss County,"5,463"
28119,MS,Quitman County,"2,712"
28121,MS,Rankin County,"15,792"
28123,MS,Scott County,"7,580"
28125,MS,Sharkey County,"1,710"
28127,MS,Simpson County,"6,967"
28129,MS,Smith County,"3,345"
28131,MS,Stone County,"3,210"
28133,MS,Sunflower County,"8,102"
28135,MS,Tallahatchie County,"4,596"
28137,MS,Tate County,"5,000"
28139,MS,Tippah County,"4,143"
28141,MS,Tishomingo County,"3,385"
28143,MS,Tunica County,"2,924"
28145,MS,Union County,"4,412"
28147,MS,Walthall County,"3,885"
28149,MS,Warren County,"10,290"
28151,MS,Washington County,"16,872"
28153,MS,Wayne County,"5,032"
28155,MS,Webster County,"2,191"
28157,MS,Wilkinson County,"2,641"
28159,MS,Winston County,"4,740"
28161,MS,Yalobusha County,"2,832"
28163,MS,Yazoo County,"8,112"
29000,MO,Missouri,"908,394"
29001,MO,Adair County,"6,109"
29003,MO,Andrew County,"1,834"
29005,MO,Atchison County,645
29007,MO,Audrain County,"4,084"
29009,MO,Barry County,"7,101"
29011,MO,Barton County,"2,280"
29013,MO,Bates County,"2,976"
29015,MO,Benton County,"3,614"
29017,MO,Bollinger County,"2,466"
29019,MO,Boone County,"31,804"
29021,MO,Buchanan County,"15,129"
29023,MO,Butler County,"8,960"
29025,MO,Caldwell County,"1,423"
29027,MO,Callaway County,"5,779"
29029,MO,Camden County,"7,600"
29031,MO,Cape Girardeau County,"12,603"
29033,MO,Carroll County,"1,472"
29035,MO,Carter County,"1,492"
29037,MO,Cass County,"10,455"
29039,MO,Cedar County,"2,946"
29041,MO,Chariton County,894
29043,MO,Christian County,"9,217"
29045,MO,Clark County,"1,067"
29047,MO,Clay County,"21,041"
29049,MO,Clinton County,"2,453"
29051,MO,Cole County,"9,521"
29053,MO,Cooper County,"2,230"
29055,MO,Crawford County,"5,018"
29057,MO,Dade County,"1,387"
29059,MO,Dallas County,"3,502"
29061,MO,Daviess County,"1,363"
29063,MO,DeKalb County,"1,697"
29065,MO,Dent County,"3,322"
29067,MO,Douglas County,"3,078"
29069,MO,Dunklin County,"9,098"
29071,MO,Franklin County,"11,919"
29073,MO,Gasconade County,"1,961"
29075,MO,Gentry County,"1,030"
29077,MO,Greene County,"56,481"
29079,MO,Grundy County,"1,890"
29081,MO,Harrison County,"1,609"
29083,MO,Henry County,"3,980"
29085,MO,Hickory County,"2,014"
29087,MO,Holt County,636
29089,MO,Howard County,"1,479"
29091,MO,Howell County,"8,706"
29093,MO,Iron County,"2,201"
29095,MO,Jackson County,"111,130"
29097,MO,Jasper County,"22,445"
29099,MO,Jefferson County,"23,387"
29101,MO,Johnson County,"7,338"
29103,MO,Knox County,757
29105,MO,Laclede County,"6,412"
29107,MO,Lafayette County,"4,278"
29109,MO,Lawrence County,"6,938"
